m	abbr	NOUN	metro	Abbr=Yes|Gender=Masc
km	abbr	NOUN	quilômetro	Abbr=Yes|Gender=Masc
cm	abbr	NOUN	centímetro	Abbr=Yes|Gender=Masc
g/	abbr	NOUN	grama	Abbr=Yes|Gender=Masc
mg	abbr	NOUN	miligrama	Abbr=Yes|Gender=Masc
l	abbr	NOUN	litro	Abbr=Yes|Gender=Masc
ml	abbr	NOUN	mililitro	Abbr=Yes|Gender=Masc
sr.	abbr	NOUN	senhor	Abbr=Yes|Gender=Masc|Number=Sing
sra.	abbr	NOUN	senhora	Abbr=Yes|Gender=Fem|Number=Sing
srs.	abbr	NOUN	senhor	Abbr=Yes|Gender=Masc|Number=Plur
sras.	abbr	NOUN	senhora	Abbr=Yes|Gender=Fem|Number=Plur
art.	abbr	NOUN	artigo	Abbr=Yes|Gender=Masc|Number=Sing
arts.	abbr	NOUN	artigo	Abbr=Yes|Gender=Masc|Number=Plur
§	abbr	NOUN	parágrafo	Abbr=Yes|Gender=Masc|Number=Sing
§§	abbr	NOUN	parágrafos	Abbr=Yes|Gender=Masc|Number=Plur
nº	abbr	NOUN	número	Abbr=Yes|Gender=Masc|Number=Sing
nºs	abbr	NOUN	número	Abbr=Yes|Gender=Masc|Number=Plur
no	abbr	NOUN	número	Abbr=Yes|Gender=Masc|Number=Sing
nos	abbr	NOUN	número	Abbr=Yes|Gender=Masc|Number=Plur
tv	abbr	NOUN	televisão	Abbr=Yes|Gender=Fem|Number=Sing
tel.	abbr	NOUN	telefone	Abbr=Yes|Gender=Masc|Number=Sing
apto.	abbr	NOUN	telefone	Abbr=Yes|Gender=Masc|Number=Sing
inc.	abbr	NOUN	inciso	Abbr=Yes|Gender=Masc|Number=Sing
d.	abbr	NOUN	dona	Abbr=Yes|Gender=Fem|Number=Sing
seg.	week	NOUN	segunda-feira	Abbr=Yes|Gender=Fem|Number=Sing
ter.	week	NOUN	terça-feira	Abbr=Yes|Gender=Fem|Number=Sing
qua.	week	NOUN	quarta-feira	Abbr=Yes|Gender=Fem|Number=Sing
qui.	week	NOUN	quinta-feira	Abbr=Yes|Gender=Fem|Number=Sing
sex.	week	NOUN	sexta-feira	Abbr=Yes|Gender=Fem|Number=Sing
sáb.	week	NOUN	sábado	Abbr=Yes|Gender=Masc|Number=Sing
dom.	week	NOUN	domingo	Abbr=Yes|Gender=Masc|Number=Sing
seg	week	NOUN	segunda-feira	Abbr=Yes|Gender=Fem|Number=Sing
ter	week	NOUN	terça-feira	Abbr=Yes|Gender=Fem|Number=Sing
qua	week	NOUN	quarta-feira	Abbr=Yes|Gender=Fem|Number=Sing
qui	week	NOUN	quinta-feira	Abbr=Yes|Gender=Fem|Number=Sing
sex	week	NOUN	sexta-feira	Abbr=Yes|Gender=Fem|Number=Sing
sáb	week	NOUN	sábado	Abbr=Yes|Gender=Masc|Number=Sing
dom	week	NOUN	domingo	Abbr=Yes|Gender=Masc|Number=Sing
segunda	week	NOUN	segunda-feira	Abbr=Yes|Gender=Fem|Number=Sing
terça	week	NOUN	terça-feira	Abbr=Yes|Gender=Fem|Number=Sing
quarta	week	NOUN	quarta-feira	Abbr=Yes|Gender=Fem|Number=Sing
quinta	week	NOUN	quinta-feira	Abbr=Yes|Gender=Fem|Number=Sing
sexta	week	NOUN	sexta-feira	Abbr=Yes|Gender=Fem|Number=Sing
sábado	week	NOUN	sábado	Gender=Masc|Number=Sing
domingo	week	NOUN	domingo	Gender=Masc|Number=Sing
ok	abbr	NOUN	ok	Gender=Masc|Number=Sing
s/	abbr	ADP	sem	Abbr=Yes
c/	abbr	ADP	com	Abbr=Yes
jan.	month	NOUN	janeiro	Abbr=Yes|Gender=Masc|Number=Sing
fev.	month	NOUN	fevereiro	Abbr=Yes|Gender=Masc|Number=Sing
mar.	month	NOUN	março	Abbr=Yes|Gender=Masc|Number=Sing
abr.	month	NOUN	abril	Abbr=Yes|Gender=Masc|Number=Sing
mai.	month	NOUN	maio	Abbr=Yes|Gender=Masc|Number=Sing
jun.	month	NOUN	junho	Abbr=Yes|Gender=Masc|Number=Sing
jul.	month	NOUN	julho	Abbr=Yes|Gender=Masc|Number=Sing
ago.	month	NOUN	agosto	Abbr=Yes|Gender=Masc|Number=Sing
set.	month	NOUN	setembro	Abbr=Yes|Gender=Masc|Number=Sing
out.	month	NOUN	outubro	Abbr=Yes|Gender=Masc|Number=Sing
nov.	month	NOUN	novembro	Abbr=Yes|Gender=Masc|Number=Sing
dez.	month	NOUN	dezembro	Abbr=Yes|Gender=Masc|Number=Sing
jan	month	NOUN	janeiro	Abbr=Yes|Gender=Masc|Number=Sing
fev	month	NOUN	fevereiro	Abbr=Yes|Gender=Masc|Number=Sing
mar	month	NOUN	março	Abbr=Yes|Gender=Masc|Number=Sing
abr	month	NOUN	abril	Abbr=Yes|Gender=Masc|Number=Sing
mai	month	NOUN	maio	Abbr=Yes|Gender=Masc|Number=Sing
jun	month	NOUN	junho	Abbr=Yes|Gender=Masc|Number=Sing
jul	month	NOUN	julho	Abbr=Yes|Gender=Masc|Number=Sing
ago	month	NOUN	agosto	Abbr=Yes|Gender=Masc|Number=Sing
set	month	NOUN	setembro	Abbr=Yes|Gender=Masc|Number=Sing
out	month	NOUN	outubro	Abbr=Yes|Gender=Masc|Number=Sing
nov	month	NOUN	novembro	Abbr=Yes|Gender=Masc|Number=Sing
dez	month	NOUN	dezembro	Abbr=Yes|Gender=Masc|Number=Sing
1º	ordinal	ADJ	primeiro	Gender=Masc|NumType=Ord
2º	ordinal	ADJ	segundo	Gender=Masc|NumType=Ord
3º	ordinal	ADJ	terceiro	Gender=Masc|NumType=Ord
4º	ordinal	ADJ	quarto	Gender=Masc|NumType=Ord
5º	ordinal	ADJ	quinto	Gender=Masc|NumType=Ord
6º	ordinal	ADJ	sexto	Gender=Masc|NumType=Ord
7º	ordinal	ADJ	sétimo	Gender=Masc|NumType=Ord
8º	ordinal	ADJ	oitavo	Gender=Masc|NumType=Ord
9º	ordinal	ADJ	nono	Gender=Masc|NumType=Ord
10º	ordinal	ADJ	décimo	Gender=Masc|NumType=Ord
11º	ordinal	ADJ	décimo-primeiro	Gender=Masc|NumType=Ord
12º	ordinal	ADJ	décimo-segundo	Gender=Masc|NumType=Ord
13º	ordinal	ADJ	décimo-terceiro	Gender=Masc|NumType=Ord
14º	ordinal	ADJ	décimo-quarto	Gender=Masc|NumType=Ord
15º	ordinal	ADJ	décimo-quinto	Gender=Masc|NumType=Ord
16º	ordinal	ADJ	décimo-sexto	Gender=Masc|NumType=Ord
17º	ordinal	ADJ	décimo-sétimo	Gender=Masc|NumType=Ord
18º	ordinal	ADJ	décimo-oitavo	Gender=Masc|NumType=Ord
19º	ordinal	ADJ	décimo-nono	Gender=Masc|NumType=Ord
20º	ordinal	ADJ	vigésimo	Gender=Masc|NumType=Ord
21º	ordinal	ADJ	vigésimo-primeiro	Gender=Masc|NumType=Ord
22º	ordinal	ADJ	vigésimo-segundo	Gender=Masc|NumType=Ord
23º	ordinal	ADJ	vigésimo-terceiro	Gender=Masc|NumType=Ord
24º	ordinal	ADJ	vigésimo-quarto	Gender=Masc|NumType=Ord
25º	ordinal	ADJ	vigésimo-quinto	Gender=Masc|NumType=Ord
26º	ordinal	ADJ	vigésimo-sexto	Gender=Masc|NumType=Ord
27º	ordinal	ADJ	vigésimo-sétimo	Gender=Masc|NumType=Ord
28º	ordinal	ADJ	vigésimo-oitavo	Gender=Masc|NumType=Ord
29º	ordinal	ADJ	vigésimo-nono	Gender=Masc|NumType=Ord
30º	ordinal	ADJ	trigésimo	Gender=Masc|NumType=Ord
31º	ordinal	ADJ	trigésimo-primeiro	Gender=Masc|NumType=Ord
32º	ordinal	ADJ	trigésimo-segundo	Gender=Masc|NumType=Ord
33º	ordinal	ADJ	trigésimo-terceiro	Gender=Masc|NumType=Ord
34º	ordinal	ADJ	trigésimo-quarto	Gender=Masc|NumType=Ord
35º	ordinal	ADJ	trigésimo-quinto	Gender=Masc|NumType=Ord
36º	ordinal	ADJ	trigésimo-sexto	Gender=Masc|NumType=Ord
37º	ordinal	ADJ	trigésimo-sétimo	Gender=Masc|NumType=Ord
38º	ordinal	ADJ	trigésimo-oitavo	Gender=Masc|NumType=Ord
39º	ordinal	ADJ	trigésimo-nono	Gender=Masc|NumType=Ord
40º	ordinal	ADJ	quadragésimo	Gender=Masc|NumType=Ord
41º	ordinal	ADJ	quadragésimo-primeiro	Gender=Masc|NumType=Ord
42º	ordinal	ADJ	quadragésimo-segundo	Gender=Masc|NumType=Ord
43º	ordinal	ADJ	quadragésimo-terceiro	Gender=Masc|NumType=Ord
44º	ordinal	ADJ	quadragésimo-quarto	Gender=Masc|NumType=Ord
45º	ordinal	ADJ	quadragésimo-quinto	Gender=Masc|NumType=Ord
46º	ordinal	ADJ	quadragésimo-sexto	Gender=Masc|NumType=Ord
47º	ordinal	ADJ	quadragésimo-sétimo	Gender=Masc|NumType=Ord
48º	ordinal	ADJ	quadragésimo-oitavo	Gender=Masc|NumType=Ord
49º	ordinal	ADJ	quadragésimo-nono	Gender=Masc|NumType=Ord
50º	ordinal	ADJ	quinquagésimo	Gender=Masc|NumType=Ord
51º	ordinal	ADJ	quinquagésimo-primeiro	Gender=Masc|NumType=Ord
52º	ordinal	ADJ	quinquagésimo-segundo	Gender=Masc|NumType=Ord
53º	ordinal	ADJ	quinquagésimo-terceiro	Gender=Masc|NumType=Ord
54º	ordinal	ADJ	quinquagésimo-quarto	Gender=Masc|NumType=Ord
55º	ordinal	ADJ	quinquagésimo-quinto	Gender=Masc|NumType=Ord
56º	ordinal	ADJ	quinquagésimo-sexto	Gender=Masc|NumType=Ord
57º	ordinal	ADJ	quinquagésimo-sétimo	Gender=Masc|NumType=Ord
58º	ordinal	ADJ	quinquagésimo-oitavo	Gender=Masc|NumType=Ord
59º	ordinal	ADJ	quinquagésimo-nono	Gender=Masc|NumType=Ord
60º	ordinal	ADJ	sexagésimo	Gender=Masc|NumType=Ord
61º	ordinal	ADJ	sexagésimo-primeiro	Gender=Masc|NumType=Ord
62º	ordinal	ADJ	sexagésimo-segundo	Gender=Masc|NumType=Ord
63º	ordinal	ADJ	sexagésimo-terceiro	Gender=Masc|NumType=Ord
64º	ordinal	ADJ	sexagésimo-quarto	Gender=Masc|NumType=Ord
65º	ordinal	ADJ	sexagésimo-quinto	Gender=Masc|NumType=Ord
66º	ordinal	ADJ	sexagésimo-sexto	Gender=Masc|NumType=Ord
67º	ordinal	ADJ	sexagésimo-sétimo	Gender=Masc|NumType=Ord
68º	ordinal	ADJ	sexagésimo-oitavo	Gender=Masc|NumType=Ord
69º	ordinal	ADJ	sexagésimo-nono	Gender=Masc|NumType=Ord
70º	ordinal	ADJ	septuagésimo	Gender=Masc|NumType=Ord
71º	ordinal	ADJ	septuagésimo-primeiro	Gender=Masc|NumType=Ord
72º	ordinal	ADJ	septuagésimo-segundo	Gender=Masc|NumType=Ord
73º	ordinal	ADJ	septuagésimo-terceiro	Gender=Masc|NumType=Ord
74º	ordinal	ADJ	septuagésimo-quarto	Gender=Masc|NumType=Ord
75º	ordinal	ADJ	septuagésimo-quinto	Gender=Masc|NumType=Ord
76º	ordinal	ADJ	septuagésimo-sexto	Gender=Masc|NumType=Ord
77º	ordinal	ADJ	septuagésimo-sétimo	Gender=Masc|NumType=Ord
78º	ordinal	ADJ	septuagésimo-oitavo	Gender=Masc|NumType=Ord
79º	ordinal	ADJ	septuagésimo-nono	Gender=Masc|NumType=Ord
80º	ordinal	ADJ	octogésimo	Gender=Masc|NumType=Ord
81º	ordinal	ADJ	octogésimo-primeiro	Gender=Masc|NumType=Ord
82º	ordinal	ADJ	octogésimo-segundo	Gender=Masc|NumType=Ord
83º	ordinal	ADJ	octogésimo-terceiro	Gender=Masc|NumType=Ord
84º	ordinal	ADJ	octogésimo-quarto	Gender=Masc|NumType=Ord
85º	ordinal	ADJ	octogésimo-quinto	Gender=Masc|NumType=Ord
86º	ordinal	ADJ	octogésimo-sexto	Gender=Masc|NumType=Ord
87º	ordinal	ADJ	octogésimo-sétimo	Gender=Masc|NumType=Ord
88º	ordinal	ADJ	octogésimo-oitavo	Gender=Masc|NumType=Ord
89º	ordinal	ADJ	octogésimo-nono	Gender=Masc|NumType=Ord
90º	ordinal	ADJ	nonagésimo	Gender=Masc|NumType=Ord
91º	ordinal	ADJ	nonagésimo-primeiro	Gender=Masc|NumType=Ord
92º	ordinal	ADJ	nonagésimo-segundo	Gender=Masc|NumType=Ord
93º	ordinal	ADJ	nonagésimo-terceiro	Gender=Masc|NumType=Ord
94º	ordinal	ADJ	nonagésimo-quarto	Gender=Masc|NumType=Ord
95º	ordinal	ADJ	nonagésimo-quinto	Gender=Masc|NumType=Ord
96º	ordinal	ADJ	nonagésimo-sexto	Gender=Masc|NumType=Ord
97º	ordinal	ADJ	nonagésimo-sétimo	Gender=Masc|NumType=Ord
98º	ordinal	ADJ	nonagésimo-oitavo	Gender=Masc|NumType=Ord
99º	ordinal	ADJ	nonagésimo-nono	Gender=Masc|NumType=Ord
100º	ordinal	ADJ	centésimo	Gender=Masc|NumType=Ord
